Source,Target,Weight
04170d29d54f46d,doktertifa,1
04170d29d54f46d,nug_om,1
04170d29d54f46d,prabowo,1
05913e7fec97465,pns_ababil,1
07msa_id,toptobs,1
2026deptfree_,masssdho97,2
4anonimitas,outstandjing,1
4anonimitas,seekhustle,1
4anonimitas,tempodotco,1
6_arung,zuherooo,1
813bluesky,fullshan_,1
9105grace,bybella181,1
9105grace,namedlatte,1
9105grace,noturnoir,1
9105grace,quokrom,1
9odwilling,karirfess,1
_azil,tradingdiary2,1
_bagusajiwo_,niniesrina,1
_biancarajendra,arara_lilly,1
_cocotetonggo_,ojkindonesia,1
_diamante04,do__jk,1
_kaya_raya,sosmedkeras,1
_la_fie,urwande,1
_raiputra,handierawan,1
_yunaa001_,tanyarlfes,1
a_store9779,kangdede78,1
aa363738,tvonenews,1
aa_kuuun,jawafess,1
abdoeljegger202,dedy44169434,1
abdoeljegger202,tan_mar3m,1
absham09,sosmedanu,1
abu_waras,sihaan99,1
acaaeliaa_,lovedrichfree,1
accionkamen,ayang_utriza,1
achmadfahar,latifaskaa,1
achmadrifky06,pinjollaknat,1
adhiprtm,myasfika,1
adhiprtm,vikirbaskervl,1
aditha_taufiq,tanyakanrl,1
adittyajulmi,kompascom,1
adyarsoso,sosmedanu,1
aikhoki,kejaksaanri,1
aikhoki,kemenkeuri,1
aikhoki,lambesahamjja,1
aikhoki,ojkindonesia,1
aikhoki,pns_ababil,1
ainanshed,roblyxnews24,1
airantiepuspa,chemankchemonk,1
ajengcute16__,agusyudhoyono,1
ajengcute16__,islah_bahrawi,1
ajengcute16__,prastow,1
ajgjlzfvck,madhink,1
ajiwre,darderdor_100x,1
ajiwre,mbotendados,1
ajiwre,sidebymyside,1
ajotegie,msaid_didu,1
akamamichi,maverick99wk,1
aken_zank,augenuous,1
aken_zank,merapi_uncover,1
akuaheed,indra_emc,1
akuaheed,wujuseola,1
akualcade,valiisaa,1
akungabutbaca,kucengterbanggg,2
albrtsd,xiayuejiu,1
alfeeii,debtcollhunter,1
alfeeii,ojkindonesia,1
alfeeii,partono_adjem,1
alfin2610,darderdor_100x,1
alin_raihani,jokowi,1
allaboutwibu123,5lamate,1
amirasiwie,ardisatriawan,1
amomumzingiber,moonlightfoxs,2
anak__ogi,erickthohir,1
anak__ogi,jokowi,1
anbaopuli4,heraloebss,1
andaradewantara,keluhkesahkonoh,1
andhikaathma,kompascom,1
andonovictor,e100ss,1
andremirza,kppu,1
andremirza,mrtweepsid,1
anggapph2,ardaffaf,1
anggapph2,kolesterol150kg,1
anggapph2,mdrfhyt,1
aninur72,liliwasalitle,1
anisahhanif1,pinjollaknat,1
anjlnk,fajartujuhbelas,1
anttieee_,kucengterbanggg,1
anzarwa1,malingfest,1
anzarwa1,sapahyooo,1
anzarwa1,unmagnetism,2
aowjrheoainw,ngalemn,1
aoyamaluthfan,dpr_ri,1
aoyamaluthfan,ojkindonesia,1
ara___jpg,inikejuuu_,1
ardalyn_,timothyronald22,1
ardiantaka,pinjollaknat,1
ardkunn17,lambesahamjja,1
aro_6ansi,divhumas_polri,1
aryhhary,dewi_unik,1
aryhhary,divhumas_polri,1
aryhhary,kemenkeuri,1
aryhhary,listyosigitp,1
aryhhary,ojkindonesia,1
aryhhary,persib,1
aryhhary,pssi,1
asdmochiqwer,worksfess,1
asimetri_,aswinsuharsono,1
asimetri_,ruliemaulana,1
athira_noura,_byhoonie_,1
atthapan_,arayashhzoo,1
aura_kate69,ds_yantie,1
avengers_02,ipb_menfess,1
avengers_02,itbfess,1
avengers_02,nadiem_makarim,1
avengers_02,ugm_fess,1
avengers_02,uiiiofficial,1
avengers_02,undipmenfess,1
avengers_02,upifess,1
ayam_sementara,iboinccc,1
ayam_sementara,kucengterbanggg,1
ayang_utriza,partaisocmed,1
