Id,Label,Degree,InDegree,OutDegree,Betweenness,Topik_Dominan
leshugoo,leshugoo,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 1: Masalah Finansial & Beban Hutang Pribadi
indomyfess,indomyfess,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
luneofgod,luneofgod,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
nucdue,nucdue,0.0015600624024961,0.0015600624024961,0.0,0.0,Tidak Ada Topik / Target Saja
bl1ndnss,bl1ndnss,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 3: Ketakutan Telat Bayar & Ancaman Sebar Data
karirfess,karirfess,0.01326053042121685,0.01326053042121685,0.0,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
_diamante04,_diamante04,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 2: Isu Ekonomi Makro & Utang Nasional
do__jk,do__jk,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
urnameblue,urnameblue,0.00234009360374415,0.0,0.00234009360374415,0.0,Topik 2: Isu Ekonomi Makro & Utang Nasional
pizzaslicelast,pizzaslicelast,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
jnkrubbies,jnkrubbies,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
ccanciang,ccanciang,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 3: Ketakutan Telat Bayar & Ancaman Sebar Data
nanyasamasiapa,nanyasamasiapa,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
_la_fie,_la_fie,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 3: Ketakutan Telat Bayar & Ancaman Sebar Data
urwande,urwande,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
pruetzels,pruetzels,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
